ID,Counts,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
ID-36,3,F,Y,N,0,225000,Working,Higher education,Single / not married,House / apartment,-20200,-1022,1,1,0,Accountants,1,-14,2
ID-37,7,M,Y,Y,0,585000,Commercial associate,Secondary / secondary special,Married,With parents,-16653,-1646,0,0,0,Drivers,2,-8,2
ID-38,1,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-13582,-3472,0,0,0,Sales staff,2,-41,2
ID-39,5,M,Y,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-13022,-1600,0,0,0,Laborers,4,-39,2
ID-40,3,M,Y,Y,0,90900,Working,Secondary / secondary special,Married,House / apartment,-21700,-2426,0,0,0,Laborers,2,-21,1
ID-41,5,F,N,Y,2,99000,Commercial associate,Higher education,Married,House / apartment,-12752,-433,0,1,0,Accountants,4,-19,2
ID-42,13,M,N,N,1,270000,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,0,0,Managers,3,-35,0
ID-43,5,F,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,0,0,0,Sales staff,2,-8,1
ID-44,4,M,N,N,0,247500,Working,Higher education,Civil marriage,House / apartment,-15125,-199,0,0,0,Drivers,2,-26,2
ID-45,4,M,Y,N,0,405000,Working,Higher education,Married,House / apartment,-18655,-3200,1,1,0,High skill tech staff,2,-4,0
ID-46,3,F,N,N,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21100,0,0,1,0,Retirement,1,-24,2
ID-47,5,F,Y,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,-18409,-3482,0,0,0,Sales staff,2,-48,2
ID-48,3,F,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,0,0,0,0,Retirement,2,-4,2
ID-49,5,F,N,Y,0,585000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18858,-2010,0,1,0,Commercial_associate_etc,2,-12,2
ID-50,4,F,Y,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,-13951,-1101,1,0,0,Sales staff,3,-4,2
ID-51,3,M,Y,Y,0,495000,Working,Incomplete higher,Married,With parents,-8917,-1101,0,0,1,Drivers,2,-10,2
ID-52,4,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,-24044,0,0,1,0,Retirement,2,-37,2
ID-53,3,F,Y,Y,2,306000,State servant,Higher education,Married,House / apartment,-13541,-3965,0,0,0,Core staff,4,-42,2
ID-54,7,F,N,N,1,99000,Working,Secondary / secondary special,Married,House / apartment,-15626,-422,0,0,0,Working_etc,3,-2,1
ID-55,6,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,0,0,0,Laborers,2,-24,2
ID-56,5,F,Y,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,0,1,0,Laborers,2,-29,2
ID-57,15,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,0,0,0,Core staff,1,-3,1
ID-58,6,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-23334,0,0,0,0,Retirement,2,-23,2
ID-59,5,F,N,Y,0,360000,Pensioner,Higher education,Married,House / apartment,-22985,0,0,1,0,Retirement,2,-25,2
ID-60,1,M,Y,Y,0,112500,Pensioner,Secondary / secondary special,Separated,House / apartment,-21397,0,0,0,0,Retirement,1,-1,1
ID-61,3,M,Y,N,1,270000,Commercial associate,Higher education,Married,House / apartment,-11373,-1371,0,0,0,Managers,3,-15,2
ID-62,12,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,-17402,-3153,0,1,0,Core staff,2,-40,1
ID-63,5,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,-15586,-3337,0,0,0,Managers,2,-21,2
ID-64,2,M,Y,N,0,67500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9047,-716,0,0,0,Security staff,1,-32,2
ID-65,6,F,N,Y,0,40500,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,0,0,Cleaning staff,2,-10,2
ID-66,1,M,N,Y,1,144000,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,0,0,0,Laborers,3,-4,1
ID-67,12,F,N,Y,2,157500,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,0,0,0,High skill tech staff,4,-2,1
ID-68,6,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,0,0,0,Laborers,2,-14,1
ID-69,4,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,-15462,-2969,0,0,1,Medicine staff,2,-59,2
ID-70,8,M,N,Y,0,81000,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,0,1,0,Laborers,1,-39,2
ID-71,12,M,Y,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,-15904,-3787,0,0,0,Laborers,4,-54,2
ID-72,5,F,N,N,0,351000,Commercial associate,Higher education,Married,House / apartment,-21574,-1081,0,1,0,Commercial_associate_etc,2,-4,2
ID-73,6,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,0,0,1,0,Retirement,2,-34,2
ID-74,1,F,N,Y,1,67500,Working,Secondary / secondary special,Married,House / apartment,-10350,-219,1,1,0,Sales staff,3,-25,2
ID-75,16,F,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2,-34,2
ID-76,10,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,0,Commercial_associate_etc,2,-15,2
ID-77,7,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,-9818,-520,0,0,0,Core staff,1,-7,1
ID-78,2,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,0,0,Sales staff,2,-23,1
ID-79,12,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,-14816,-1672,0,0,0,Core staff,2,-2,0
ID-80,9,F,N,Y,0,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,0,0,0,Laborers,2,-2,1
ID-81,2,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,0,0,1,Sales staff,2,0,0
ID-82,1,F,Y,Y,0,216000,Working,Higher education,Civil marriage,House / apartment,-15274,-1423,0,0,1,Accountants,2,-53,2
ID-83,4,F,N,N,2,180000,Working,Higher education,Married,House / apartment,-11905,-1700,0,0,0,High skill tech staff,4,-38,1
ID-84,4,M,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,0,0,1,0,Retirement,2,-27,2
ID-85,11,M,Y,N,0,184500,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,0,0,0,Laborers,2,-41,1
ID-86,8,M,Y,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,0,1,Drivers,3,-45,2
ID-87,5,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13270,-235,1,1,1,Core staff,1,-56,2
ID-88,1,F,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,0,0,0,Managers,2,-45,2
ID-89,5,M,N,N,0,450000,Commercial associate,Incomplete higher,Married,House / apartment,-14465,-4145,1,1,0,Managers,2,-59,2
ID-90,2,F,N,Y,0,45000,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,0,0,Cleaning staff,2,-30,2
ID-91,5,F,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-18744,-2988,0,0,0,Private service staff,2,-20,2
ID-92,2,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,0,0,0,Laborers,3,-5,2
ID-93,4,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19053,-3629,0,0,0,High skill tech staff,1,-22,1
ID-94,15,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,0,0,0,0,Retirement,2,-26,2
ID-95,3,M,N,Y,0,79650,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,0,0,1,0,Retirement,2,-14,2
ID-96,9,M,N,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-23674,-2087,0,0,0,Security staff,2,-56,2
ID-97,3,M,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,0,0,0,Drivers,2,-46,2
ID-98,9,M,Y,Y,0,450000,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,0,0,1,Sales staff,1,-5,2
ID-99,10,F,N,N,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,0,1,1,Medicine staff,1,-35,2
ID-100,4,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,-22112,-8491,0,0,0,Private service staff,2,-9,2
ID-101,5,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,0,Managers,2,-2,1
ID-102,4,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12269,-604,0,0,0,Managers,3,-12,2
ID-103,4,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,0,Managers,2,-12,2
ID-104,5,M,Y,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,-15994,-2537,0,1,0,Sales staff,1,-7,0
ID-105,5,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984,-2606,0,0,0,Laborers,2,-5,2
ID-106,7,F,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,-16118,-1959,0,1,0,Working_etc,3,-47,2
ID-107,4,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,-9310,-1678,0,0,0,Working_etc,3,-4,1
ID-108,9,F,N,Y,0,153000,Working,Higher education,Single / not married,House / apartment,-10762,-683,0,1,0,Core staff,1,-22,2
ID-109,6,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,0,High skill tech staff,2,-13,2
ID-110,3,M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,-12846,-164,0,0,0,Managers,2,-57,2
ID-111,3,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,0,0,0,Drivers,3,-44,2
ID-112,1,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,-17826,-201,0,1,0,Laborers,1,-4,2
ID-113,3,F,N,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17384,-1138,0,0,0,Cooking staff,4,-36,1
ID-114,4,M,Y,Y,2,135000,Working,Higher education,Married,House / apartment,-11564,-2944,0,0,1,Managers,4,-43,2
ID-115,1,F,N,N,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,-20920,0,0,0,0,Retirement,2,-49,2
ID-116,1,F,Y,Y,1,382500,Working,Secondary / secondary special,Married,House / apartment,-14317,-2751,0,0,0,Managers,3,-11,2
ID-117,5,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,0,0,0,Sales staff,2,-27,2
ID-118,1,F,N,Y,0,112500,Working,Higher education,Married,House / apartment,-18259,-5756,0,1,0,Sales staff,2,-47,2
ID-119,3,F,N,Y,2,144000,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,0,Cooking staff,4,0,1
ID-120,12,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,0,0,0,0,Retirement,1,-4,1
ID-121,9,F,N,N,0,144000,Working,Secondary / secondary special,Married,Municipal apartment,-16641,-9988,1,1,0,Sales staff,2,-35,2
ID-122,5,F,Y,Y,2,283500,State servant,Higher education,Married,House / apartment,-12902,-4120,0,0,0,Core staff,4,-39,2
ID-123,9,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,0,0,0,High skill tech staff,2,-48,2
ID-124,4,F,Y,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15525,-3357,0,0,0,Accountants,4,-55,2
ID-125,13,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483,-4039,0,0,0,Managers,2,-42,2
ID-126,5,F,Y,N,1,175500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11709,-4983,0,0,0,Laborers,2,-45,2
ID-127,4,M,Y,Y,1,360000,Commercial associate,Higher education,Married,House / apartment,-16537,-410,0,1,1,Laborers,3,-30,2
ID-128,7,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-13741,-5221,0,0,0,Laborers,3,-38,1
ID-129,2,M,N,N,1,315000,Working,Secondary / secondary special,Married,House / apartment,-17537,-1749,0,0,0,Laborers,3,-11,2
ID-130,35,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,0,0,0,Laborers,1,-1,0
ID-131,11,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,0,1,0,Commercial_associate_etc,2,-33,0
ID-132,8,F,N,N,0,225000,Commercial associate,Higher education,Married,House / apartment,-10559,-429,1,1,0,Drivers,2,-35,2
ID-133,8,F,Y,N,1,387000,Working,Higher education,Married,House / apartment,-13168,-2574,0,0,0,Managers,3,-22,2
ID-134,7,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,-22991,0,0,0,0,Retirement,1,-6,2
ID-135,3,M,Y,N,1,337500,Commercial associate,Higher education,Separated,House / apartment,-15333,-196,0,1,0,Managers,2,-23,0
ID-136,4,F,N,N,1,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,0,0,0,Accountants,3,-29,2
ID-137,2,F,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,0,0,0,Sales staff,3,-46,2
ID-138,2,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,-24367,0,0,0,0,Retirement,2,-2,0
ID-139,6,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,0,1,0,Commercial_associate_etc,2,-39,2
ID-140,7,M,Y,Y,1,180000,Working,Higher education,Married,With parents,-11917,-1680,1,0,0,Laborers,3,-15,0
ID-141,11,F,Y,Y,1,112500,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,0,0,1,Core staff,3,-12,2
ID-142,1,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,-22456,-1934,0,1,0,Managers,2,-11,2
ID-143,8,F,Y,Y,0,256500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,0,0,1,Core staff,2,-45,2
ID-144,4,F,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-10351,-1322,0,0,0,Working_etc,2,-8,2
ID-145,7,F,Y,N,0,202500,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,0,1,0,Medicine staff,2,-7,2
ID-146,9,F,N,N,0,247500,Working,Higher education,Married,House / apartment,-14136,-7400,1,1,0,Managers,2,-6,1
ID-147,2,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,-12681,-709,0,0,0,Sales staff,2,-11,1
ID-148,5,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,0,1,0,Working_etc,2,-26,2
ID-149,11,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,0,0,0,Laborers,4,-49,1
ID-150,2,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,-11900,-2828,0,0,0,Laborers,3,-41,2
ID-151,3,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15344,-314,0,0,0,Drivers,2,-33,2
ID-152,3,F,Y,Y,0,360000,Working,Secondary / secondary special,Separated,House / apartment,-10597,-574,1,0,0,Medicine staff,1,-35,2
ID-153,9,M,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17975,-3476,0,0,0,Drivers,2,-32,1
ID-154,7,F,N,N,0,175500,Working,Secondary / secondary special,Married,House / apartment,-18868,-10993,1,0,0,Working_etc,2,-46,2
ID-155,5,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,0,0,0,0,Retirement,2,-35,2
ID-156,3,M,N,Y,1,135000,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,0,0,0,Laborers,2,-38,2
ID-157,6,M,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,0,0,0,Working_etc,4,-44,2
ID-158,6,M,N,Y,1,202500,State servant,Higher education,Married,House / apartment,-10756,-2355,0,0,0,Core staff,3,-39,2
ID-159,10,F,N,Y,0,153000,Pensioner,Higher education,Married,House / apartment,-21899,0,0,1,0,Retirement,2,-51,1
ID-160,4,F,Y,Y,1,72000,Working,Secondary / secondary special,Married,House / apartment,-17136,-1266,0,0,0,Sales staff,3,-11,2
ID-161,3,M,Y,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,-13465,-839,0,1,0,Managers,4,-33,0
ID-162,3,F,N,N,1,540000,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,0,0,Managers,2,-60,2
ID-163,5,F,N,Y,0,155250,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,0,0,0,0,Retirement,2,-24,2
ID-164,1,M,Y,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,-20815,-829,0,0,1,Security staff,2,-3,1
ID-165,2,F,N,Y,0,139500,State servant,Higher education,Married,House / apartment,-21017,-895,1,1,0,State_servant_etc,2,-4,1
ID-166,3,F,N,Y,0,495000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21596,0,0,1,0,Retirement,1,-15,2
ID-167,5,M,Y,N,0,459000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,0,Drivers,2,-14,2
ID-168,9,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,0,Working_etc,2,-21,1
ID-169,8,F,N,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,-14077,-3792,0,0,0,Working_etc,2,-3,1
ID-170,9,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,0,1,1,Core staff,3,-60,2
ID-171,5,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,0,0,0,Private service staff,2,-2,0
ID-172,2,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15812,-8091,0,0,0,Working_etc,3,-49,1
ID-173,3,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Married,House / apartment,-23086,0,0,0,0,Retirement,2,-19,0
ID-174,2,F,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,-10755,-1040,0,0,1,Sales staff,2,-15,2
ID-175,1,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-10705,-1376,0,0,0,Drivers,2,-2,1
ID-176,2,F,Y,N,0,315000,State servant,Higher education,Married,House / apartment,-17940,-9957,1,0,0,Managers,2,-26,2
ID-177,2,F,N,N,0,157500,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,0,0,0,Commercial_associate_etc,1,-22,1
ID-178,1,M,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,-20288,0,0,0,0,Retirement,2,-12,2
ID-179,8,M,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,Rented apartment,-16990,-2026,0,0,0,Drivers,2,-19,2
ID-180,8,F,Y,Y,0,720000,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,0,Managers,1,-58,2
ID-181,1,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-20718,0,0,0,0,Retirement,2,-5,0
ID-182,1,F,N,Y,2,67500,Working,Higher education,Married,House / apartment,-10281,-961,1,0,0,Working_etc,4,-12,0
ID-183,6,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-22861,0,0,1,0,Retirement,2,-42,1
ID-184,3,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,0,0,1,Drivers,2,-46,2
ID-185,4,F,N,Y,0,180000,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,0,Cleaning staff,1,-49,2
ID-186,2,F,Y,Y,0,216000,Working,Higher education,Married,House / apartment,-18529,-1809,0,0,0,Secretaries,2,-10,2
ID-187,4,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,0,0,0,Laborers,3,-4,1
ID-188,3,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-20027,0,0,0,0,Retirement,1,-26,0
ID-189,6,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,0,0,0,Working_etc,2,-44,2
ID-190,10,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,0,0,1,0,Retirement,1,-13,0
ID-191,1,F,N,N,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,-21310,0,0,0,0,Retirement,2,-28,2
ID-32,10,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2,-14,2
ID-192,4,M,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,0,0,0,Security staff,2,-22,0
ID-193,5,M,Y,N,1,252000,State servant,Higher education,Married,House / apartment,-12483,-1650,1,1,0,High skill tech staff,3,-19,1
ID-194,2,F,N,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,-10981,-552,0,0,0,Laborers,2,-5,2
ID-195,1,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-9889,-2289,0,0,0,Managers,2,-36,2
ID-196,7,M,N,Y,1,360000,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,0,0,0,Sales staff,3,-49,2
ID-197,2,F,N,Y,2,225000,State servant,Secondary / secondary special,Married,House / apartment,-13077,-5394,1,0,0,Medicine staff,4,-26,1
ID-198,4,F,N,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,-15812,-658,0,1,0,Sales staff,4,-11,2
ID-199,3,M,Y,Y,0,202500,Working,Higher education,Married,House / apartment,-14646,-1953,0,0,0,Managers,2,-3,1
ID-200,20,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,-12322,-3717,0,0,0,Core staff,2,-10,1
ID-201,3,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-14185,-4447,1,0,0,Core staff,2,-8,1
